Hours_Studied,Attendance,Parental_Involvement,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Gender,Exam_Score,Study_Efficiency,Wellness_Index
10,64,Medium,7,64,High,0,Medium,Medium,Public,4,Yes,High School,Female,60,640,14.0
17,69,High,9,83,Medium,2,Medium,High,Private,4,Yes,College,Female,66,1173,18.0
27,98,Low,7,56,Low,1,High,Medium,Private,3,No,College,Female,73,2646,10.5
20,98,Medium,7,50,Low,1,Medium,High,Private,2,No,High School,Female,68,1960,7.0
14,64,Medium,6,85,Medium,0,Medium,Medium,Public,3,No,High School,Male,62,896,9.0
16,61,Medium,9,86,Low,2,Low,High,Public,2,No,High School,Male,62,976,9.0
24,66,High,8,81,High,1,Medium,Medium,Public,4,No,High School,Male,65,1584,16.0
16,100,High,8,63,High,2,Low,Medium,Public,3,No,High School,Male,69,1600,12.0
21,67,Medium,7,96,Low,3,Low,Medium,Public,2,No,High School,Female,64,1407,7.0
20,80,Medium,5,94,Medium,0,Low,Low,Private,4,Yes,Postgraduate,Female,67,1600,10.0
16,94,High,9,76,Medium,0,Low,High,Public,2,No,High School,Male,70,1504,9.0
33,61,Medium,7,99,High,2,Medium,High,Public,3,No,College,Female,70,2013,10.5
24,84,High,7,65,Low,3,Medium,High,Public,3,No,High School,Female,69,2016,10.5
8,71,High,8,75,Medium,0,Medium,High,Public,3,No,High School,Male,61,568,12.0
21,94,Medium,7,96,Low,0,Medium,Medium,Private,2,Yes,Postgraduate,Male,69,1974,7.0
16,71,High,5,73,Medium,1,Medium,Medium,Public,0,Yes,High School,Male,63,1136,0.0
25,87,Medium,7,74,Low,0,Medium,High,Public,4,Yes,High School,Male,67,2175,14.0
15,87,Low,4,54,Medium,1,Medium,Medium,Public,6,No,High School,Male,65,1305,12.0
19,69,Medium,7,61,High,3,High,High,Public,4,No,High School,Male,66,1311,14.0
25,76,Medium,4,78,Medium,2,Medium,Medium,Private,3,No,High School,Female,68,1900,6.0
13,72,High,7,66,Medium,0,Low,High,Public,4,No,Postgraduate,Male,65,936,14.0
18,92,Low,8,54,Medium,1,Medium,Medium,Public,3,No,High School,Male,67,1656,12.0
17,92,Low,8,75,Medium,2,Medium,High,Public,3,No,Postgraduate,Female,68,1564,12.0
16,78,Medium,6,83,Medium,0,Low,Low,Public,3,Yes,College,Male,64,1248,9.0
31,84,Medium,5,87,High,0,Medium,Medium,Private,3,No,College,Male,71,2604,7.5
22,84,Medium,6,92,Low,0,Medium,Medium,Public,5,No,High School,Female,69,1848,15.0
12,93,Medium,9,74,Low,1,Medium,Medium,Public,3,No,Postgraduate,Male,67,1116,13.5
26,77,Low,4,70,Low,2,High,Low,Public,3,Yes,College,Female,65,2002,6.0
33,71,Low,5,84,Medium,1,Medium,Medium,Public,2,No,High School,Male,68,2343,5.0
26,71,High,6,51,Low,1,High,Medium,Private,3,No,Postgraduate,Male,67,1846,9.0
11,81,Medium,6,82,High,3,Medium,High,Public,4,No,High School,Male,67,891,12.0
17,78,Medium,7,70,Medium,2,Low,High,Public,3,No,High School,Male,66,1326,10.5
28,78,High,9,73,High,2,Medium,Medium,Public,4,No,College,Female,70,2184,18.0
16,64,High,5,65,Medium,3,Medium,High,Private,4,No,Postgraduate,Female,65,1024,10.0
25,69,Medium,7,70,Low,1,High,High,Public,4,No,High School,Female,65,1725,14.0
14,68,High,6,65,Medium,1,High,Medium,Public,3,Yes,College,Male,63,952,9.0
20,77,Medium,5,98,Low,2,Low,High,Private,2,No,Postgraduate,Female,67,1540,5.0
14,83,Medium,6,82,Medium,0,Medium,Medium,Public,2,No,High School,Female,65,1162,6.0
18,75,Low,8,95,Medium,1,Low,Low,Public,2,No,College,Female,66,1350,8.0
13,78,Medium,8,88,High,0,High,Low,Public,3,No,College,Male,66,1014,12.0
30,81,Medium,5,67,Medium,1,High,High,Public,1,No,High School,Male,69,2430,2.5
11,68,Medium,6,80,Medium,2,Medium,Medium,Public,3,No,College,Female,63,748,9.0
17,66,Low,6,61,Medium,1,High,Medium,Public,6,No,Postgraduate,Male,65,1122,18.0
21,95,Low,10,84,Low,0,High,Medium,Public,4,Yes,High School,Male,67,1995,20.0
29,77,High,7,52,Medium,2,High,Medium,Public,3,Yes,High School,Female,69,2233,10.5
27,61,Medium,6,79,Medium,1,Low,Medium,Public,3,No,High School,Male,65,1647,9.0
20,80,High,6,53,Medium,0,Low,Medium,Public,2,No,College,Male,65,1600,6.0
14,82,Medium,8,94,Low,2,Low,High,Public,5,No,College,Female,67,1148,20.0
23,82,Low,8,94,Medium,1,Medium,Medium,Public,2,Yes,High School,Male,66,1886,8.0
16,67,Medium,7,89,High,3,Low,Medium,Public,3,No,College,Male,66,1072,10.5
20,70,Medium,7,84,Low,2,Medium,High,Private,4,No,College,Male,65,1400,14.0
18,92,High,7,70,Medium,1,Low,Medium,Public,3,No,High School,Male,69,1656,10.5
21,98,Medium,4,57,Medium,2,High,Low,Public,2,No,High School,Female,68,2058,4.0
24,65,Medium,7,64,Low,1,High,Medium,Public,1,No,Postgraduate,Male,64,1560,3.5
30,80,Low,6,67,Medium,3,Medium,Medium,Public,4,No,College,Female,69,2400,12.0
13,69,Medium,5,68,Low,0,High,Medium,Public,1,Yes,High School,Female,59,897,2.5
33,62,High,10,78,Medium,0,Medium,Medium,Private,3,No,High School,Female,68,2046,15.0
8,73,Medium,7,60,Medium,0,High,Medium,Private,3,No,High School,Female,60,584,10.5
19,66,Medium,7,59,Medium,1,High,Medium,Public,3,No,High School,Male,62,1254,10.5
24,88,Low,6,86,Low,0,Low,Low,Public,3,No,College,Male,67,2112,9.0
16,66,Medium,5,57,High,3,Medium,Medium,Public,3,No,High School,Female,64,1056,7.5
19,60,Medium,7,72,High,3,Low,High,Public,3,No,High School,Female,65,1140,10.5
17,92,Low,6,57,Medium,2,Medium,Medium,Private,2,Yes,High School,Female,65,1564,6.0
16,67,High,8,98,Medium,0,Low,Low,Public,3,No,High School,Female,63,1072,12.0
25,84,Medium,6,84,Low,2,Medium,High,Public,3,No,High School,Male,70,2100,9.0
22,73,Low,9,72,Low,3,Medium,Medium,Public,3,No,High School,Female,66,1606,13.5
25,73,Low,8,69,Medium,3,Medium,Medium,Private,3,No,High School,Female,66,1825,12.0
22,63,Low,8,83,Medium,3,Medium,Medium,Private,1,No,College,Male,63,1386,4.0
25,69,High,9,98,Medium,1,Low,Medium,Public,3,Yes,College,Female,66,1725,13.5
24,68,Medium,6,74,Medium,1,Medium,Medium,Public,3,No,High School,Female,65,1632,9.0
15,77,Medium,8,85,High,1,Low,Medium,Public,2,No,Postgraduate,Male,66,1155,8.0
17,86,High,4,60,High,2,High,Low,Private,3,Yes,College,Female,67,1462,6.0
24,71,Medium,7,81,Medium,0,Low,Medium,Private,3,No,High School,Male,66,1704,10.5
20,81,Medium,5,60,Low,3,Medium,Medium,Public,4,Yes,High School,Male,66,1620,10.0
21,84,Medium,6,75,Low,1,High,Medium,Public,3,No,College,Male,67,1764,9.0
28,99,Medium,6,61,Medium,1,Low,Medium,Public,3,No,High School,Male,71,2772,9.0
16,84,Medium,7,86,Medium,1,Low,Medium,Private,2,No,High School,Female,67,1344,7.0
23,79,Medium,6,97,Medium,1,High,Low,Public,4,No,High School,Male,69,1817,12.0
19,83,Medium,7,70,Medium,2,Low,Medium,Public,4,Yes,Postgraduate,Female,67,1577,14.0
19,97,High,6,66,High,2,Medium,Medium,Private,2,No,College,Female,72,1843,6.0
27,93,High,6,59,High,2,Low,Medium,Private,4,No,High School,Female,70,2511,12.0
25,73,Medium,7,70,Low,0,Low,Medium,Private,4,No,Postgraduate,Male,67,1825,14.0
25,69,Low,7,78,Medium,0,Low,High,Public,3,No,High School,Female,64,1725,10.5
28,71,Medium,8,69,High,1,Medium,High,Private,1,No,College,Female,67,1988,4.0
20,80,Low,8,81,Medium,3,Medium,Medium,Private,4,No,Postgraduate,Male,69,1600,16.0
24,90,Low,7,83,Medium,0,Low,Medium,Private,3,No,College,Male,68,2160,10.5
18,80,Medium,8,55,Low,2,Low,Low,Public,3,No,High School,Male,63,1440,12.0
19,89,High,7,95,Medium,0,Medium,Medium,Public,3,No,High School,Male,70,1691,10.5
21,92,Medium,8,51,Low,0,Medium,Medium,Public,2,No,College,Male,66,1932,8.0
24,72,High,6,78,High,0,Low,High,Public,6,No,High School,Female,68,1728,18.0
